"wm_freq2","comb_freq2","beat","signal"
13115.65231709,13115.65139354,-60.83553102,0.0699167622957572
13115.65231707,13115.65139352,-60.83556316,0.0460842560655495
13115.65231731,13115.65139355,-60.83536461,0.0621112766483906
13115.65235686,13115.65143288,-60.83501559,0.0783954168122177
13115.65235837,13115.65143288,-60.83493612,0.0572415459673794
13115.65235829,13115.65143289,-60.83483842,0.0729521251865584
13115.65239703,13115.65147228,-60.83359372,0.0692342110558594
13115.65239841,13115.65147224,-60.8347848,0.0892875225165451
13115.6523974,13115.65147223,-60.83468953,0.0707014505155785
13115.65243724,13115.65151161,-60.83435552,0.0408373999960512
13115.65243343,13115.65151152,-60.83541336,0.0609865692927951
13115.65243593,13115.65151156,-60.83494372,0.0824359078579271
13115.65247649,13115.6515509,-60.8348694,0.06329802053924
13115.65247371,13115.65155088,-60.83538783,0.0720888249295905
13115.6524756,13115.65155092,-60.83470939,0.06300641512002
13115.6525154,13115.65159031,-60.83367254,0.114720663867219
13115.65251583,13115.65159029,-60.83339056,0.0857463372096558
13115.65251495,13115.65159025,-60.8347452,0.0580485980762375
13115.6525544,13115.65162957,-60.83495311,0.0432379697633729
13115.65255457,13115.65162957,-60.8354657,0.0997234189061374
13115.65255374,13115.65162959,-60.83417944,0.0765114387011456
13115.65259207,13115.65166896,-60.83385112,0.114106358992764
13115.65259353,13115.65166895,-60.83365209,0.0655281289088323
13115.65259312,13115.65166897,-60.833949,0.0715387599311666
13115.65261965,13115.6516951,-60.83408587,0.111414560165585
13115.65261771,13115.65169521,-60.83452635,0.06000429776971
13115.6526186,13115.65169513,-60.83428952,0.0995961000092069
13115.65265894,13115.6517345,-60.83471191,0.10708901374382
13115.65265879,13115.65173448,-60.83484128,0.135377794572316
13115.65266086,13115.6517345,-60.834349,0.155920296145731
13115.65269744,13115.65177383,-60.83444069,0.11845904181834
13115.65269851,13115.65177384,-60.83404658,0.19252365052615
13115.65270029,13115.65177386,-60.83338623,0.133243455261666
13115.65273816,13115.65181321,-60.83422225,0.112592872812274
13115.65273756,13115.6518132,-60.83356278,0.110463777706892
13115.65273706,13115.65181316,-60.8336753,0.149882712629227
13115.6527746,13115.65185254,-60.833549,0.26012179724232
